% Model:              2D.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 19 2023, 15:23
% Table:              Probe Table 1 - 
freq(GHz)                                      phi(deg)                                         Electric(V/m)
1                                                 0                                                 0.6621602723474516
1                                                 29.999999999999996                                0.7664634115008025
1                                                 59.99999999999999                                 0.7666494998641455
1                                                 90                                                0.6531543325002656
1                                                 119.99999999999999                                0.5263693717116106
1                                                 150                                               0.5268614756215182
1                                                 180                                               0.6076530191771617
1                                                 210                                               0.6765901554958466
1                                                 239.99999999999997                                0.6618059476629975
1                                                 270                                               0.5950105407743442
1                                                 300                                               0.5518350900008461
1                                                 330                                               0.5472629556282801
1                                                 360                                               0.6621602723474515
2                                                 0                                                 0.6638419934460261
2                                                 29.999999999999996                                0.8009907020618395
2                                                 59.99999999999999                                 0.7734495413143493
2                                                 90                                                0.661985700044754
2                                                 119.99999999999999                                0.6086236669236224
2                                                 150                                               0.546573151718215
2                                                 180                                               0.6668536691054762
2                                                 210                                               0.7643831527158035
2                                                 239.99999999999997                                0.6999215261258454
2                                                 270                                               0.6507742543915094
2                                                 300                                               0.6300591625945193
2                                                 330                                               0.5735224051483567
2                                                 360                                               0.6638419934460259
3                                                 0                                                 0.573588625549646
3                                                 29.999999999999996                                0.5327496863817566
3                                                 59.99999999999999                                 0.5759639317311313
3                                                 90                                                0.583004827807259
3                                                 119.99999999999999                                0.6163975017222773
3                                                 150                                               0.6459166616354405
3                                                 180                                               0.7178592973633244
3                                                 210                                               0.7998240928005427
3                                                 239.99999999999997                                0.6890082136858591
3                                                 270                                               0.6707987415760083
3                                                 300                                               0.7005704427851063
3                                                 330                                               0.5990255706459349
3                                                 360                                               0.5735886255496458
4                                                 0                                                 0.6186850743954502
4                                                 29.999999999999996                                0.7112007354857539
4                                                 59.99999999999999                                 0.7256383225232459
4                                                 90                                                0.6871897976065874
4                                                 119.99999999999999                                0.623608962499637
4                                                 150                                               0.6463468018588883
4                                                 180                                               0.698501031093118
4                                                 210                                               0.7184277777206238
4                                                 239.99999999999997                                0.6381806910722714
4                                                 270                                               0.693730505987811
4                                                 300                                               0.6909910518227822
4                                                 330                                               0.5812075456790967
4                                                 360                                               0.61868507439545
5                                                 0                                                 0.6062694595638299
5                                                 29.999999999999996                                0.6965245199641489
5                                                 59.99999999999999                                 0.6929414854604374
5                                                 90                                                0.6149425721059918
5                                                 119.99999999999999                                0.6689741980203444
5                                                 150                                               0.7118789631544165
5                                                 180                                               0.6640780606828497
5                                                 210                                               0.6090442984760952
5                                                 239.99999999999997                                0.596247439948908
5                                                 270                                               0.680901502650065
5                                                 300                                               0.703781040107439
5                                                 330                                               0.6577119055222391
5                                                 360                                               0.6062694595638299
6                                                 0                                                 0.6546652106918538
6                                                 29.999999999999996                                0.7195067867645522
6                                                 59.99999999999999                                 0.732830340896413
6                                                 90                                                0.7096152144741373
6                                                 119.99999999999999                                0.6960744334687301
6                                                 150                                               0.6801630561449619
6                                                 180                                               0.7179748238307092
6                                                 210                                               0.6671167288941942
6                                                 239.99999999999997                                0.6325010821136964
6                                                 270                                               0.6697329123529592
6                                                 300                                               0.6538114844089942
6                                                 330                                               0.685688958828283
6                                                 360                                               0.6546652106918539
7                                                 0                                                 0.676311188288782
7                                                 29.999999999999996                                0.8228674260741387
7                                                 59.99999999999999                                 0.9196235668906025
7                                                 90                                                0.7441635980627505
7                                                 119.99999999999999                                0.6585365423486939
7                                                 150                                               0.6411819161689327
7                                                 180                                               0.6661194612310287
7                                                 210                                               0.5564359270847812
7                                                 239.99999999999997                                0.6061228246211063
7                                                 270                                               0.7046683867607958
7                                                 300                                               0.6559096410090572
7                                                 330                                               0.6838240624136532
7                                                 360                                               0.6763111882887829
8                                                 0                                                 0.7093443628545524
8                                                 29.999999999999996                                0.8210094966366577
8                                                 59.99999999999999                                 0.8308798916479944
8                                                 90                                                0.7701979312426729
8                                                 119.99999999999999                                0.734803122460509
8                                                 150                                               0.6654187626266821
8                                                 180                                               0.790500218898606
8                                                 210                                               0.7620684993142011
8                                                 239.99999999999997                                0.7523115273953406
8                                                 270                                               0.6490559484042828
8                                                 300                                               0.6723941185687937
8                                                 330                                               0.7256098857752634
8                                                 360                                               0.7093443628545529
9                                                 0                                                 0.7511148688835378
9                                                 29.999999999999996                                0.8600432963151239
9                                                 59.99999999999999                                 0.8201712009573547
9                                                 90                                                0.9098936977542349
9                                                 119.99999999999999                                0.8389328600530445
9                                                 150                                               0.7676280557365452
9                                                 180                                               0.7681436752387687
9                                                 210                                               0.7767377186129568
9                                                 239.99999999999997                                0.796744993642178
9                                                 270                                               0.8189241346995783
9                                                 300                                               0.7444389122273216
9                                                 330                                               0.7734146101195652
9                                                 360                                               0.7511148688835374
10                                                0                                                 1.0041346140122915
10                                                29.999999999999996                                1.1525744176545187
10                                                59.99999999999999                                 1.0913244423430495
10                                                90                                                0.9726487750600532
10                                                119.99999999999999                                0.8789816175578005
10                                                150                                               0.7820150760761195
10                                                180                                               0.8855160633369723
10                                                210                                               0.7468004468919457
10                                                239.99999999999997                                0.7002340896696648
10                                                270                                               0.7677842667120499
10                                                300                                               0.778066171337992
10                                                330                                               0.9342238613792797
10                                                360                                               1.004134614012291
11                                                0                                                 0.9136219031815733
11                                                29.999999999999996                                1.2228304484910775
11                                                59.99999999999999                                 1.1748654594262098
11                                                90                                                1.0361750527198053
11                                                119.99999999999999                                0.9176650269811395
11                                                150                                               0.7948197880834292
11                                                180                                               0.8329342358243512
11                                                210                                               0.8131996376566967
11                                                239.99999999999997                                0.89033204465125
11                                                270                                               0.7419080953968937
11                                                300                                               0.885758824441024
11                                                330                                               0.8587848850817777
11                                                360                                               0.9136219031815728
12                                                0                                                 1.1107088123935203
12                                                29.999999999999996                                1.5158194808989043
12                                                59.99999999999999                                 1.3988629027765804
12                                                90                                                1.4488489632500199
12                                                119.99999999999999                                1.0841048635129162
12                                                150                                               0.8706789607628367
12                                                180                                               1.0049766261468338
12                                                210                                               0.8843550732436485
12                                                239.99999999999997                                1.0794182437481323
12                                                270                                               0.9939841350345875
12                                                300                                               1.0908106966351319
12                                                330                                               1.0344605517863907
12                                                360                                               1.11070881239352
