x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
-4.5,-4.5,1,0.6299220315368831,0.5767811329424604,0.44396074733584,1.1170383222278935,0.9446708546215996,0.9446708605585361,0.7662763445579155,0.9065608289274979,0.9065607975340098,0.7662762858542046
-4.5,-4.5,1.1,0.6624491417447669,0.5858392326182045,0.46403537222512137,1.1628572883786077,0.9240334932918174,0.9240335037825417,0.723900719136535,0.9380186100659539,0.9380185935627643,0.7239006597277082
-4.5,-4.5,1.2000000000000002,0.6922838216296604,0.5982003645891034,0.48073388003199113,1.2044852158026735,0.8897639369577749,0.8897639520922183,0.697799159178713,0.9615304408119228,0.9615304404757686,0.6977991056035429
-4.5,-4.5,1.3,0.715802081754757,0.616301852089604,0.4944836364870073,1.2337195399787573,0.836401031812303,0.8364010513637391,0.6854349784985927,0.9415935885090613,0.9415936034869953,0.6854349377246954
-4.5,-4.5,1.4000000000000001,0.7269086258975554,0.6307666416687261,0.5075982533814581,1.2379488530619114,0.7593540449406943,0.7593540680798531,0.6841014994301574,0.8628776571614529,0.8628776850749815,0.6841014775636336
-4.5,-4.5,1.5,0.7231577082712968,0.6312448889401898,0.5273815029940846,1.2110166138192624,0.6651391274555133,0.6651391522814335,0.6958578102129125,0.755808674077653,0.7558087097554363,0.6958578094874309
-4.5,-4.5,1.6,0.7104051902801026,0.6315909091702313,0.5572028999988915,1.1624950434785366,0.5743243888438815,0.5743244123454649,0.7219581428861046,0.6947858781970765,0.69478591234862,0.7219581590802061
-4.5,-4.5,1.7000000000000004,0.6977986627701867,0.6489585548814649,0.588871330516955,1.112216283181153,0.5076318619934043,0.5076318817515368,0.7569741085557357,0.7240314054099328,0.7240314302009921,0.7569741341734689
-4.5,-4.5,1.8,0.6913457733101575,0.6740308366819171,0.6153573523690407,1.077636729478958,0.47200108262460283,0.47200109818657704,0.7915914750150858,0.8151855485729257,0.8151855626648995,0.7915915041381295
-4.5,-4.5,1.9000000000000001,0.6935303795532343,0.6922706840342389,0.6356515541463821,1.067783531963409,0.46271933646579927,0.4627193485822124,0.8145026665044034,0.9237329664283223,0.9237329717822843,0.81450269590603
-4.5,-4.5,2,0.7047921768498435,0.6954587972894821,0.6512228754416353,1.0826746373197305,0.4701717769650263,0.47017178659811737,0.8113989088366855,1.0227031009291083,1.0227030995534616,0.8113989370278997
-4.5,-4.5,2.1,0.7231908395148348,0.6838232174276747,0.6637595532771726,1.111492482796682,0.4819179384688394,0.4819179463682546,0.7669731253229041,1.1025622164511588,1.1025622095780945,0.7669731513576278
-4.5,-4.5,2.2,0.7423992698945291,0.6671349386291234,0.6745765516542622,1.1301260626049319,0.48294779179460456,0.4829477983545773,0.6816010354618361,1.1667594890349164,1.1667594775241328,0.6816010580253684
-4.5,-4.5,2.3000000000000003,0.7532858010979135,0.666704771457655,0.6845817849284201,1.1121029169714995,0.46252286632380446,0.46252287154067223,0.5999954254167436,1.2227479276736097,1.2227479124037597,0.5999954433102929
-4.5,-4.5,2.400000000000001,0.7528522402963242,0.6769272959159086,0.6943030321551674,1.0568733170624647,0.42644715684955015,0.4264471603781749,0.5866143019509977,1.272703763900419,1.2727037454769423,0.5866143156929391
-4.5,-4.5,2.5,0.7477044763026889,0.6783954797367774,0.7037898790205869,0.9936064358405351,0.39341315829277185,0.3934131594866998,0.6526900751599579,1.3120871493214885,1.312087128045841,0.6526900861218605
-4.5,-4.5,2.6,0.7459962591243057,0.6710985184556029,0.712241020358325,0.9511950507553689,0.37767279032982126,0.3776727912854483,0.7587788945142238,1.3298269091318635,1.3298268851420254,0.7587789028364947
-4.5,-4.5,2.7,0.7519583668690624,0.6627720621915723,0.7171375764458743,0.9424951427296522,0.383595449454185,0.3835954421579546,0.8643654497201725,1.3139146271730087,1.3139146007072111,0.8643654544645263
-4.5,-4.5,2.8000000000000003,0.7664640169267632,0.658631335267055,0.7127462024878067,0.968520997206501,0.40577124512214774,0.40577123341022703,0.9445585682308386,1.2551510421790748,1.2551510141401718,0.9445585678790649
