x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-4.5,-4.5,1,0.60751,0.55449,0.42375,1.086,0.94353,0.94353,0.82642,0.95577,0.95577,0.82642
-4.5,-4.5,1.1,0.64534,0.5697,0.44844,1.1396,0.93142,0.93142,0.781,0.96165,0.96165,0.781
-4.5,-4.5,1.2,0.67925,0.58864,0.46873,1.1861,0.90183,0.90183,0.74548,0.96485,0.96485,0.74548
-4.5,-4.5,1.3,0.70556,0.61157,0.48463,1.2179,0.85061,0.85061,0.72187,0.93296,0.93296,0.72187
-4.5,-4.5,1.4,0.7187,0.62729,0.49823,1.2238,0.77462,0.77462,0.70968,0.8477,0.8477,0.70968
-4.5,-4.5,1.5,0.7165,0.62741,0.51649,1.1983,0.68095,0.68095,0.71138,0.73486,0.73486,0.71138
-4.5,-4.5,1.6,0.70468,0.62718,0.54404,1.1509,0.58982,0.58982,0.72885,0.66792,0.66792,0.72885
-4.5,-4.5,1.7,0.69244,0.64479,0.5744,1.1011,0.52194,0.52194,0.7574,0.69441,0.69441,0.7574
-4.5,-4.5,1.8,0.686,0.67072,0.60039,1.0663,0.48496,0.48496,0.78762,0.78656,0.78656,0.78762
-4.5,-4.5,1.9,0.68793,0.69021,0.62036,1.0553,0.47464,0.47464,0.80769,0.89825,0.89825,0.80769
-4.5,-4.5,2,0.69861,0.69503,0.63542,1.068,0.48144,0.48144,0.80282,1.0015,1.0015,0.80282
-4.5,-4.5,2.1,0.71599,0.68507,0.64706,1.0935,0.49281,0.49281,0.75729,1.0866,1.0866,0.75729
-4.5,-4.5,2.2,0.7336,0.66922,0.65645,1.1076,0.49368,0.49368,0.67103,1.1574,1.1574,0.67103
-4.5,-4.5,2.3,0.74233,0.66788,0.66436,1.084,0.47336,0.47336,0.58785,1.2215,1.2215,0.58785
-4.5,-4.5,2.4,0.73945,0.67652,0.67119,1.023,0.43759,0.43759,0.57042,1.2811,1.2811,0.57042
-4.5,-4.5,2.5,0.73176,0.67656,0.67685,0.95405,0.4045,0.4045,0.62997,1.332,1.332,0.62997
-4.5,-4.5,2.6,0.72738,0.67039,0.68057,0.90636,0.38687,0.38687,0.73007,1.363,1.363,0.73007
-4.5,-4.5,2.7,0.73053,0.66416,0.68023,0.89358,0.3865,0.3865,0.83321,1.3611,1.3611,0.83321
-4.5,-4.5,2.8,0.7424,0.66358,0.67123,0.91803,0.39819,0.39819,0.91681,1.3139,1.3139,0.91681
-4.5,-4.5,2.9,0.7621,0.6711,0.64586,0.97314,0.41068,0.41068,0.96602,1.2113,1.2113,0.96602
-4.5,-4.5,3,0.78576,0.68054,0.59954,1.035,0.4019,0.4019,0.9749,1.0651,1.0651,0.9749
-4.5,-4.5,3.1,0.80393,0.67927,0.55352,1.0591,0.35196,0.35196,0.97039,0.9591,0.9591,0.97039
-4.5,-4.5,3.2,0.80883,0.6626,0.54297,1.0245,0.296,0.296,0.99106,0.98522,0.98522,0.99106
-4.5,-4.5,3.3,0.80352,0.64658,0.55024,0.96309,0.30011,0.30011,1.0311,1.0742,1.0742,1.0311
-4.5,-4.5,3.4,0.79146,0.6455,0.54244,0.9059,0.35855,0.35855,1.0698,1.1419,1.1419,1.0698
-4.5,-4.5,3.5,0.77217,0.65284,0.50767,0.85995,0.43056,0.43056,1.0949,1.1767,1.1767,1.0949
-4.5,-4.5,3.6,0.74492,0.6568,0.44378,0.82611,0.49112,0.49112,1.1006,1.1887,1.1887,1.1006
