freq (GHz),Base,Ideal,Defect 5mm
1,0.5,1.105550042,1.005546351
1.1,0.5,1.153975702,1.040462765
1.2,0.5,1.146173759,1.019218322
1.3,0.5,1.099413837,0.976117594
1.4,0.5,1.069244089,0.980610372
1.5,0.5,1.070746503,1.025800709
1.6,0.5,1.043103505,1.021969404
1.7,0.5,0.980256236,0.972949298
1.8,0.5,0.923701308,0.933323233
1.9,0.5,0.905689835,0.918724814
2,0.5,0.867917508,0.872381845
2.1,0.5,0.789137024,0.784261023
2.2,0.5,0.744859436,0.733978171
2.3,0.5,0.756584889,0.741497642
2.4,0.5,0.712297037,0.700735771
2.5,0.5,0.632083057,0.617672689
2.6,0.5,0.619212695,0.584743356
2.7,0.5,0.666397869,0.597294622
2.8,0.5,0.681130458,0.56651
2.9,0.5,0.715127686,0.584383111
3,0.5,0.757809776,0.642281862
3.1,0.500000001,0.813187459,0.705613099
3.2,0.500000001,0.840695122,0.735530585
3.3,0.500000001,0.863122343,0.752781989
3.4,0.500000001,0.885809222,0.778415931
3.5,0.500000001,0.913102201,0.821622543
3.6,0.500000001,0.903918583,0.8297217
3.7,0.500000001,0.90445833,0.845500895
3.8,0.500000001,0.911394572,0.873636358
3.9,0.500000001,0.910794945,0.906316676
4,0.500000001,0.875508336,0.891836456
4.1,0.500000001,0.85398617,0.873892328
4.2,0.500000001,0.844382208,0.864425431
4.3,0.500000001,0.82767944,0.853005729
4.4,0.500000001,0.788034546,0.815135908
4.5,0.500000001,0.754804025,0.782113327
4.6,0.500000001,0.73766963,0.764018011
4.7,0.500000001,0.722750507,0.746032124
4.8,0.500000001,0.689278976,0.702840327
4.9,0.500000001,0.665054939,0.65984087
5,0.500000001,0.671614172,0.643948313
5.1,0.500000001,0.69270363,0.647451062
5.2,0.500000001,0.714421776,0.641936615
5.3,0.500000001,0.746890677,0.674258886
5.4,0.500000001,0.793680474,0.722524609
5.5,0.500000001,0.833397975,0.76866883
