% Model:              2D.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 19 2023, 10:48
% Table:              Probe Table 1 - 
% freq (GHz)                                      phi (deg)                                         Electric field norm (V/m), Boundary Probe 1
1                                                 0                                                 0.6787135710144212
1                                                 29.999999999999996                                0.8051896914471687
1                                                 59.99999999999999                                 0.810695962021545
1                                                 90                                                0.6868092868688006
1                                                 119.99999999999999                                0.5346359034204091
1                                                 150                                               0.5385534760611351
1                                                 180                                               0.5737205379961807
1                                                 210                                               0.6112092814038178
1                                                 239.99999999999997                                0.6006043502093569
1                                                 270                                               0.5520597500714601
1                                                 300                                               0.5329774709965633
1                                                 330                                               0.545454768616804
1                                                 360                                               0.6787135710144211
2                                                 0                                                 0.6674916530717281
2                                                 29.999999999999996                                0.8228071924149674
2                                                 59.99999999999999                                 0.7669991393154068
2                                                 90                                                0.6501945081303976
2                                                 119.99999999999999                                0.5972742783839505
2                                                 150                                               0.5640413954690824
2                                                 180                                               0.6388939314181534
2                                                 210                                               0.6814890076511164
2                                                 239.99999999999997                                0.6670009098684662
2                                                 270                                               0.6370370339960839
2                                                 300                                               0.5729174054698335
2                                                 330                                               0.5660714643909064
2                                                 360                                               0.6674916530717282
3                                                 0                                                 0.5581299741658031
3                                                 29.999999999999996                                0.5614866329515678
3                                                 59.99999999999999                                 0.6271965230842752
3                                                 90                                                0.6198729127583693
3                                                 119.99999999999999                                0.5945944288247824
3                                                 150                                               0.6580022565655282
3                                                 180                                               0.7306981115631357
3                                                 210                                               0.7642893246956316
3                                                 239.99999999999997                                0.7816924757893556
3                                                 270                                               0.7669586617206401
3                                                 300                                               0.6570038202047785
3                                                 330                                               0.6090364640958373
3                                                 360                                               0.558129974165803
4                                                 0                                                 0.6213782814605507
4                                                 29.999999999999996                                0.7353844795218498
4                                                 59.99999999999999                                 0.7362319939746796
4                                                 90                                                0.6844606318297342
4                                                 119.99999999999999                                0.6127432332326659
4                                                 150                                               0.6473415064680679
4                                                 180                                               0.6973379956891103
4                                                 210                                               0.7139341387446427
4                                                 239.99999999999997                                0.7546499811838444
4                                                 270                                               0.7302287096559179
4                                                 300                                               0.6403664938369186
4                                                 330                                               0.5870221576088123
4                                                 360                                               0.6213782814605504
5                                                 0                                                 0.6232101844712428
5                                                 29.999999999999996                                0.6804230678868882
5                                                 59.99999999999999                                 0.6688175279888497
5                                                 90                                                0.6208244751351073
5                                                 119.99999999999999                                0.6604321322730572
5                                                 150                                               0.6861449065240699
5                                                 180                                               0.6636205781609208
5                                                 210                                               0.5944511318855016
5                                                 239.99999999999997                                0.5579685827375443
5                                                 270                                               0.6639510656181704
5                                                 300                                               0.6927301735346794
5                                                 330                                               0.6492795492274492
