x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
0,0,1,0.596109805,0.545837405,0.414094826,1.062735644,0.92006195,0.920061984,0.855630863,1.004339196,1.004339213,0.855630835
0,0,1.1,0.635923249,0.563309449,0.440448616,1.113408191,0.899125693,0.899125733,0.816328803,0.999785508,0.99978554,0.816328791
0,0,1.2,0.671680017,0.58499063,0.462351425,1.156039629,0.858388077,0.858388123,0.792164494,0.981420673,0.981420714,0.792164505
0,0,1.3,0.699515951,0.609369323,0.479427216,1.183630637,0.794778503,0.794778551,0.785635771,0.926008136,0.926008176,0.785635809
0,0,1.4,0.714016021,0.625440148,0.493535408,1.186144626,0.707847506,0.707847553,0.795198966,0.844533429,0.844533456,0.795199027
0,0,1.5,0.713013684,0.62550672,0.511349185,1.159168112,0.608496551,0.608496589,0.818425505,0.800560382,0.800560382,0.818425574
0,0,1.6,0.702031638,0.624949842,0.537970238,1.111988863,0.519694825,0.51969485,0.850487692,0.850718674,0.85071865,0.850487753
0,0,1.7,0.690218093,0.642527556,0.567822085,1.063055621,0.460731017,0.460731027,0.883433897,0.972162658,0.972162624,0.883433944
0,0,1.8,0.683910823,0.668818501,0.593734778,1.028532478,0.43461026,0.434610259,0.907413301,1.108918913,1.108918878,0.907413332
0,0,1.9,0.685785718,0.688910673,0.613750355,1.016452696,0.432909819,0.432909808,0.911322986,1.225335154,1.225335123,0.911323005
0,0,2,0.696265409,0.694551214,0.628773785,1.026052894,0.443940158,0.44394014,0.883857769,1.308621791,1.308621765,0.883857776
0,0,2.1,0.713249135,0.685424049,0.640214088,1.046231057,0.455516094,0.45551607,0.820821055,1.358909111,1.35890909,0.82082105
0,0,2.2,0.730237837,0.6700152,0.649201503,1.053855207,0.456194972,0.456194943,0.746488578,1.383021038,1.383021024,0.746488559
0,0,2.3,0.738166808,0.668331228,0.656461377,1.024955292,0.441789281,0.44178925,0.723978936,1.38967491,1.389674904,0.723978904
0,0,2.4,0.73440788,0.676259859,0.662316026,0.961091682,0.42254769,0.422547659,0.794624505,1.382242368,1.382242371,0.794624462
0,0,2.5,0.72581925,0.675739841,0.666621077,0.891147128,0.41379075,0.41379072,0.923497771,1.353116409,1.353116421,0.923497724
0,0,2.6,0.720436051,0.670140518,0.668522932,0.842486235,0.420982481,0.420982453,1.053443839,1.292014615,1.292014635,1.053443791
0,0,2.7,0.722360403,0.664323542,0.665884536,0.827149205,0.440188002,0.440187973,1.155752686,1.195394536,1.195394563,1.155752639
0,0,2.8,0.732742672,0.664979568,0.654272897,0.846478011,0.464033524,0.464033499,1.222640021,1.068955484,1.068955519,1.222639974
0,0,2.9,0.750713762,0.673970399,0.626557359,0.893644338,0.480746582,0.480746552,1.252620605,0.938717759,0.9387178,1.252620561
0,0,3,0.772086636,0.684113188,0.579916634,0.945653053,0.470879866,0.470879833,1.252482645,0.876843578,0.876843616,1.252482608
0,0,3.1,0.789605691,0.682061634,0.539075616,0.960544726,0.426743314,0.426743289,1.246966213,0.952459725,0.952459746,1.246966192
0,0,3.2,0.796251922,0.663990416,0.538352584,0.919812832,0.39788292,0.397882921,1.257503879,1.072808443,1.07280844,1.257503881
0,0,3.3,0.794540207,0.647604792,0.55412341,0.854292516,0.434486038,0.434486077,1.272779601,1.132071048,1.132071023,1.272779631
0,0,3.4,0.786929656,0.646992877,0.552333315,0.792726907,0.510908597,0.510908669,1.275071801,1.132295897,1.132295852,1.27507186
0,0,3.5,0.772209873,0.654616399,0.521492493,0.741465855,0.588454214,0.588454313,1.259488082,1.102522564,1.102522505,1.259488167
0,0,3.6,0.748963304,0.658758914,0.459298928,0.70193197,0.646161649,0.646161765,1.22474475,1.057614685,1.057614624,1.22474485
0,0,3.7,0.718606526,0.651465641,0.363973594,0.684599541,0.670217145,0.670217267,1.167719648,1.001739988,1.001739941,1.167719749
0,0,3.8,0.687257213,0.630206156,0.36661639,0.703070231,0.645443986,0.6454441,1.09456993,0.970756706,0.970756683,1.094570015
0,0,3.9,0.662776679,0.608473506,0.432927684,0.729919267,0.577412765,0.577412858,1.058936088,1.03617103,1.036171032,1.058936147
0,0,4,0.648986332,0.619230237,0.51343864,0.706976003,0.536267973,0.536268051,1.103113217,1.118537401,1.118537417,1.103113251
0,0,4.1,0.637306255,0.637256309,0.564808766,0.6502806,0.557283217,0.557283288,1.156055375,1.10921302,1.109213043,1.156055388
0,0,4.2,0.624123922,0.643204536,0.585922898,0.597460757,0.605416594,0.605416656,1.173692792,1.039264508,1.039264536,1.173692787
0,0,4.3,0.608792646,0.638451787,0.591200327,0.555945288,0.655908681,0.655908732,1.161383385,0.951751509,0.95175154,1.161383363
0,0,4.4,0.590556851,0.627502064,0.589742402,0.52053959,0.699472627,0.699472664,1.130736611,0.861139128,0.861139159,1.130736574
0,0,4.5,0.56951553,0.619299051,0.591941209,0.493154676,0.72704573,0.727045753,1.085834342,0.777727085,0.777727115,1.085834293
0,0,4.6,0.553720036,0.62516169,0.624285424,0.501954259,0.719114796,0.719114803,1.031870512,0.751046735,0.751046758,1.031870457
0,0,4.7,0.559022072,0.639031981,0.705215591,0.561923728,0.660337735,0.66033771,1.051110924,0.829952381,0.829952388,1.051110866
0,0,4.8,0.579612772,0.633878716,0.757218756,0.589269701,0.624004726,0.624004672,1.175427097,0.878439691,0.878439681,1.175427037
0,0,4.9,0.58822008,0.616027228,0.754037345,0.576068211,0.647593821,0.647593757,1.258059599,0.863848971,0.86384895,1.258059543
0,0,5,0.587610026,0.603550705,0.730749298,0.564485175,0.688214374,0.688214304,1.285790656,0.85504544,0.85504541,1.285790607
0,0,5.1,0.581282497,0.602150691,0.699231822,0.565180929,0.725805754,0.72580568,1.284438811,0.862328494,0.862328457,1.284438768
0,0,5.2,0.569636095,0.604727957,0.660250966,0.57321197,0.752498638,0.752498558,1.268922776,0.86804973,0.868049688,1.268922739
0,0,5.3,0.555532911,0.605154598,0.617253524,0.58006619,0.756277595,0.756277507,1.243939777,0.869552827,0.869552787,1.243939747
0,0,5.4,0.551501313,0.602875699,0.582366538,0.596883104,0.70750773,0.707507635,1.207299973,0.925231572,0.925231547,1.207299952
0,0,5.5,0.567340505,0.589673973,0.568901108,0.673507507,0.580349907,0.580349795,1.214107796,1.054357011,1.054357009,1.214107804
0,0,5.6,0.584580995,0.586542939,0.57468345,0.734277512,0.524644146,0.524644015,1.269248195,1.058673662,1.05867367,1.269248236
0,0,5.7,0.599737858,0.597357005,0.583458247,0.749776983,0.539112901,0.539112761,1.275720928,1.00717042,1.007170441,1.275720986
0,0,5.8,0.616962601,0.608750119,0.579497982,0.752963989,0.563297303,0.563297166,1.249432093,0.968150258,0.968150291,1.249432166
0,0,5.9,0.632751598,0.615910302,0.554334677,0.753219603,0.589670074,0.589669945,1.210445578,0.939029209,0.939029247,1.21044566
0,0,6,0.643746468,0.61568742,0.507017481,0.752106453,0.613016531,0.613016411,1.166249088,0.912560847,0.912560882,1.166249174
0,0,6.1,0.648549068,0.60842328,0.440950788,0.743924575,0.621559977,0.621559868,1.115242808,0.895621914,0.895621942,1.115242893
0,0,6.2,0.64642511,0.60712162,0.351093265,0.720406431,0.591308683,0.591308602,1.060806103,0.947034169,0.947034195,1.060806173
0,0,6.3,0.649188027,0.621443789,0.409893064,0.736883936,0.546792748,0.546792547,1.102966201,1.057482597,1.057482619,1.102966259
0,0,6.4,0.666066108,0.625807538,0.493283759,0.758307593,0.573928681,0.573928552,1.157771159,1.054345553,1.05434554,1.157771209
0,0,6.5,0.678888948,0.625458004,0.534847236,0.749368307,0.610298109,0.610298004,1.151005472,1.051779768,1.051779736,1.151005504
0,0,6.6,0.685903114,0.624387254,0.557279868,0.731145268,0.647807093,0.647807019,1.123919967,1.068134271,1.06813423,1.123919979
0,0,6.7,0.687178464,0.628234335,0.571630978,0.711871536,0.687396346,0.687396297,1.092429004,1.087901991,1.087901954,1.092428996
0,0,6.8,0.683825064,0.638650145,0.585327281,0.697580989,0.722566475,0.72256644,1.063878893,1.099328533,1.099328512,1.063878865
0,0,6.9,0.677358978,0.650646992,0.604271742,0.6876313,0.7416734,0.741673362,1.039138997,1.109974082,1.109974086,1.039138954
0,0,7,0.671674779,0.654715019,0.666870426,0.667998554,0.722344465,0.722344395,1.027241882,1.168710086,1.168710111,1.027241837
0,0,7.1,0.691600052,0.643069831,0.805090583,0.674759993,0.697659167,0.697659037,1.090558658,1.201459684,1.201459679,1.090558628
0,0,7.2,0.71323535,0.635043404,0.849381943,0.679048062,0.708211263,0.708211124,1.101267258,1.185026638,1.185026617,1.101267209
0,0,7.3,0.728001795,0.6340044,0.857092664,0.673332187,0.726048996,0.726048858,1.080266774,1.171238472,1.171238444,1.080266711
0,0,7.4,0.739062785,0.640342728,0.847529483,0.66894555,0.750653585,0.750653455,1.058283561,1.146336996,1.146336969,1.058283489
0,0,7.5,0.745939423,0.646439453,0.820366556,0.668364214,0.777146429,0.77714631,1.044955636,1.110556673,1.110556657,1.04495556
0,0,7.6,0.747279427,0.645371411,0.775114715,0.673906061,0.795109,0.795108893,1.041323983,1.069735428,1.069735436,1.041323907
0,0,7.7,0.741250514,0.634338731,0.717180519,0.685762112,0.787270772,0.787270671,1.040829741,1.048258062,1.048258108,1.040829667
0,0,7.8,0.738729352,0.621162639,0.69732145,0.696594588,0.724444599,0.724444439,1.060129378,1.085735474,1.08573554,1.06012933
0,0,7.9,0.760227248,0.627372487,0.699821727,0.715655792,0.694121613,0.694121393,1.107324591,1.069848067,1.069848082,1.107324542
0,0,8,0.766956971,0.635941713,0.676199693,0.713419556,0.689883096,0.689882872,1.108344671,1.080134851,1.080134837,1.108344636
0,0,8.1,0.766347227,0.64167924,0.655208843,0.700855245,0.69855231,0.698552085,1.092790202,1.086879123,1.08687909,1.092790201
0,0,8.2,0.761412216,0.641880015,0.629529936,0.687738654,0.716596886,0.716596662,1.072819323,1.072562419,1.072562376,1.07281936
0,0,8.3,0.751403044,0.635629116,0.590972331,0.676982556,0.736054953,0.736054737,1.054373252,1.041572092,1.041572058,1.054373322
0,0,8.4,0.734343575,0.62724044,0.537990419,0.667650568,0.746788624,0.746788429,1.04066248,1.006761433,1.006761424,1.040662572
0,0,8.5,0.709888966,0.624855973,0.477783707,0.656077747,0.730856119,0.730855957,1.034053192,1.003762711,1.003762727,1.034053312
0,0,8.6,0.698566395,0.629378525,0.424208556,0.660983527,0.695237003,0.695236719,1.075163445,1.020303093,1.020303081,1.075163572
0,0,8.7,0.694100094,0.628578388,0.387896935,0.664601514,0.685990765,0.685990471,1.084815513,1.03500231,1.03500225,1.084815612
