x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 3","Electric field norm (V/m), Boundary Probe 7","Electric field norm (V/m), Boundary Probe 8","Electric field norm (V/m), Boundary Probe 9","Electric field norm (V/m), Boundary Probe 10"
-4.5,-4.5,1,0.657756124,0.641443843,0.484906558,0.799254972,0.844183962,0.844183962,0.553973138,0.888481748,0.844183962,0.553973138
-4.5,-4.5,1.1,0.675533594,0.629115745,0.491417977,0.855530335,0.818282252,0.818282252,0.57009727,0.996115273,0.818282252,0.570097269
-4.5,-4.5,1.2,0.697816359,0.633075261,0.501178703,0.900664078,0.789531736,0.789531736,0.599263964,1.05897991,0.789531736,0.599263964
-4.5,-4.5,1.3,0.71910428,0.64333256,0.514040348,0.920335648,0.746866508,0.746866508,0.632641312,1.056441952,0.746866508,0.632641312
-4.5,-4.5,1.4,0.731324465,0.646824603,0.532545019,0.909476801,0.68183919,0.68183919,0.668808486,0.985588546,0.68183919,0.668808486
-4.5,-4.5,1.5,0.730461992,0.64280452,0.563041234,0.881727381,0.599286981,0.599286982,0.711532729,0.881498754,0.599286981,0.711532729
-4.5,-4.5,1.6,0.721178709,0.641876897,0.603122115,0.866317813,0.519994265,0.519994266,0.76108979,0.813196121,0.519994265,0.76108979
-4.5,-4.5,1.7,0.711667351,0.65561833,0.641496521,0.882184967,0.463644515,0.463644516,0.812584513,0.823206691,0.463644515,0.812584513
-4.5,-4.5,1.8,0.70772364,0.676596233,0.672795623,0.921834397,0.435621066,0.435621067,0.859222443,0.890479754,0.435621066,0.859222444
-4.5,-4.5,1.9,0.712220032,0.690672351,0.697799691,0.96738283,0.431355646,0.431355648,0.89190876,0.974213259,0.431355646,0.89190876
-4.5,-4.5,2,0.726232099,0.689457675,0.71897673,1.002667965,0.442619209,0.442619211,0.897695729,1.046115278,0.442619209,0.89769573
-4.5,-4.5,2.1,0.748660589,0.674286153,0.738480824,1.014514133,0.459040656,0.459040658,0.861616294,1.092780337,0.459040656,0.861616295
-4.5,-4.5,2.2,0.774089943,0.65702969,0.75757799,0.997729411,0.469335467,0.469335469,0.782525189,1.114098027,0.469335467,0.78252519
-4.5,-4.5,2.3,0.793390305,0.658705435,0.776278182,0.966660557,0.469715055,0.469715057,0.702376106,1.118500811,0.469715055,0.702376106
-4.5,-4.5,2.4,0.801407493,0.671043272,0.79282222,0.948786639,0.467876859,0.467876861,0.684313087,1.115215461,0.467876859,0.684313087
-4.5,-4.5,2.5,0.799660692,0.67471754,0.803487944,0.954673849,0.479325383,0.479325385,0.733017693,1.11548196,0.479325383,0.733017693
-4.5,-4.5,2.6,0.792559779,0.664827039,0.803708863,0.973585409,0.50869711,0.508697113,0.8016052,1.127276977,0.50869711,0.8016052
-4.5,-4.5,2.7,0.784878978,0.6464169,0.790123765,0.993084022,0.548442141,0.548442143,0.854942143,1.14681115,0.548442141,0.854942143
-4.5,-4.5,2.8,0.780905304,0.640266026,0.760462045,1.003973783,0.588171906,0.588171909,0.881712387,1.156467519,0.588171906,0.881712387
-4.5,-4.5,2.9,0.783578084,0.653394988,0.710142526,0.996349868,0.615873856,0.615873858,0.876207301,1.133723267,0.615873856,0.8762073
-4.5,-4.5,3,0.791196424,0.670653061,0.633121218,0.967529303,0.612328577,0.612328579,0.834619256,1.081862928,0.612328577,0.834619256
-4.5,-4.5,3.1,0.794923094,0.676689674,0.541659957,0.94988323,0.562571001,0.562571003,0.78780034,1.072727135,0.562571001,0.78780034
-4.5,-4.5,3.2,0.788331082,0.664192876,0.479287837,0.982450343,0.498140886,0.498140889,0.802487936,1.153501022,0.498140886,0.802487936
-4.5,-4.5,3.3,0.775201134,0.64699354,0.458249504,1.03259221,0.479380306,0.47938031,0.870365008,1.239717591,0.479380306,0.870365008
-4.5,-4.5,3.4,0.758251207,0.63856165,0.442778917,1.065587801,0.511908978,0.511908981,0.940803466,1.279878786,0.511908978,0.940803466
-4.5,-4.5,3.5,0.735855156,0.639588623,0.412541278,1.079003807,0.564061587,0.56406159,0.991713798,1.285835498,0.564061587,0.991713799
-4.5,-4.5,3.6,0.707543346,0.643717627,0.379199321,1.078263882,0.610932201,0.610932203,1.017216489,1.276186783,0.610932201,1.017216489
-4.5,-4.5,3.7,0.6784801,0.638350958,0.380438025,1.060644766,0.636368888,0.636368891,1.010983713,1.2442697,0.636368888,1.010983714
