 x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Point: 2","Electric field norm (V/m), Point: 3","Electric field norm (V/m), Point: 5","Electric field norm (V/m), Point: 6","Electric field norm (V/m), Point: 7","Electric field norm (V/m), Point: 8","Electric field norm (V/m), Point: 10","Electric field norm (V/m), Point: 11","Electric field norm (V/m), Point: 12","Electric field norm (V/m), Point: 13","Electric field norm (V/m), Point: 14","Electric field norm (V/m), Point: 15"
0.6,0.6,19.5,1.43148977,1.849154955,0.823337356,1.457340126,1.97598146,2.411944195,0.001133062,9.04E-04,0.001102726,0.001301825,1.483703722,1.842310194
0.6,0.6,19.6,1.486859949,1.768051586,0.932755559,1.312279644,1.914075969,2.441083671,0.001151107,9.15E-04,0.001114305,0.001327254,1.534458076,2.073685524
0.6,0.6,19.7,1.491839976,1.701656772,0.886682283,1.290106393,1.651157996,2.118113599,0.001166018,9.33E-04,0.001124424,0.001353117,1.704071769,1.942311477
0.6,0.6,19.8,1.488407202,1.627680541,0.833689108,1.261612105,1.479189284,2.074268664,0.001180644,9.47E-04,0.00113913,0.001367362,1.725421653,1.875805356
0.6,0.6,19.9,1.530752995,1.51313947,0.802869443,1.186756181,1.442333777,2.124033139,0.001201624,9.62E-04,0.001154698,0.001384824,1.465591739,1.751165561
0.6,0.6,20,1.526464021,1.406705401,0.779221661,1.070115825,1.221784144,2.025145991,0.001221055,9.77E-04,0.001177892,0.001401,1.427443585,1.691867996
0.6,0.6,20.1,1.54222349,1.2339834,0.792374344,0.945283297,1.112501493,2.278394646,0.00123958,9.90E-04,0.00120057,0.001421525,1.431251326,1.362186338
0.6,0.6,20.2,1.483060977,1.254654081,0.973658924,0.739977864,1.253743928,2.27103265,0.001251253,0.00100597,0.001216097,0.001444371,1.30380651,1.318652095
0.6,0.6,20.3,1.492699798,1.283032224,1.091180073,0.636172852,1.259472035,2.045056754,0.001269213,0.001020478,0.001232291,0.001466107,1.233986702,1.429579563
0.6,0.6,20.4,1.556073824,1.37946429,1.187813376,0.504413871,1.231089238,1.841738944,0.001284738,0.001036196,0.001247935,0.001486301,1.223082188,1.454645564
0.6,0.6,20.5,1.618689818,1.363664821,1.358868015,0.412590949,1.173647449,1.632684308,0.001304882,0.001048178,0.00126714,0.001508854,1.231649303,1.401542757
0.6,0.6,20.6,1.70290637,1.312886326,1.478878451,0.434565085,1.2024809,1.372034439,0.001324548,0.001059902,0.001289501,0.001533814,1.308803061,1.390775434
0.6,0.6,20.7,1.785849766,1.346281192,1.548006144,0.474037599,1.135932699,1.380719488,0.001341569,0.001076949,0.001302848,0.001552012,1.301686391,1.269390378
0.6,0.6,20.8,1.835268184,1.283554768,1.640918845,0.470732403,1.167654776,1.443645964,0.001356363,0.001095328,0.001322924,0.001573258,1.33057911,1.096782757
0.6,0.6,20.9,1.837654037,1.254147145,1.75817197,0.431856075,1.123394418,1.21221235,0.001370204,0.001108877,0.001333981,0.001590366,1.241077602,0.964920367
