% Model,Untitled.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 9 2023, 12:37"
% Table,Probe Table 1 - 
% freq (GHz),phi (deg),"Electric field norm (V/m), Domain Probe 1","Electric field norm (V/m), Boundary Probe 1","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3"
1,0,0.6132021770120776,0.5044048924256553,0.6055078791581735,0.6224286648123711
1,14.999999999999998,0.6115294444858255,0.504023694140231,0.5882959739961413,0.6206779386966281
1,29.999999999999996,0.6068712910968884,0.5046141717088264,0.5685631535709992,0.6157071225820656
1,45,0.60026837920065,0.510490120524766,0.5472383414320795,0.6084056868164381
1,59.99999999999999,0.5933372088938745,0.5265411016907381,0.5271744160846291,0.6004010097804087
1,75,0.5880199751510876,0.5560740940957287,0.51251500443589,0.5940144761445639
1,90,0.5860163755696269,0.5986588668503108,0.5070976005539439,0.5915512229896238
1,105,0.5880199674595762,0.648928651275514,0.5125149949289458,0.5940144605980819
1,119.99999999999999,0.593337194245031,0.6984598079306648,0.5271743969838587,0.6004009804785461
1,135,0.6002683588705714,0.7397954711269644,0.5472383127707828,0.6084056465381323
1,150,0.6068712666248165,0.7690670203953843,0.5685631158215839,0.6157070743528155
1,165,0.6115294174258381,0.7858387121119341,0.5882959283298791,0.620677885461432
1,180,0.6132021488202383,0.791214659614649,0.6055078276208982,0.6224286093890762
1,195,0.6115294166257448,0.7858387069821202,0.6207220733518481,0.6206778820737807
1,210,0.6068712650752889,0.7690670107529832,0.6346729863391677,0.6157070677885663
1,225,0.600268356730913,0.7397954581747961,0.6472567570980647,0.6084056372952189
1,239.99999999999997,0.5933371918239813,0.6984597933459239,0.6574948989108089,0.6004009693790457
1,255,0.588019965155962,0.6489286369751466,0.6641980001070746,0.5940144487104846
1,270,0.5860163737273265,0.5986588546366982,0.6665279313521221,0.5915512114576288
1,285,0.5880199739284708,0.5560740851940664,0.6641980185336863,0.5940144659634555
1,300,0.5933372082474899,0.5265410963084649,0.6574949333522263,0.6004010015866871
1,315,0.6002683789626411,0.5104901178983149,0.6472568033123447,0.6084056808309868
1,330,0.606871291071894,0.504614170711959,0.6346730391553641,0.6157071187407779
1,345,0.6115294445165423,0.5040236938682241,0.6207221276578438,0.6206779368358146
1,360,0.6132021770120776,0.5044048924256553,0.6055078791581735,0.6224286648123711
1.1,0,0.6411015557151462,0.5210109656971421,0.6033400049834098,0.6235277368498047
1.1,14.999999999999998,0.6388715922042413,0.518347864400739,0.5908064679260467,0.6210121497540423
1.1,29.999999999999996,0.6326395406129388,0.5125345346261677,0.5734241183900463,0.6137777291834383
1.1,45,0.6237457503261613,0.5091681277247274,0.5518588826530534,0.6028409734116579
1.1,59.99999999999999,0.6143214699933363,0.5152661701858184,0.5296166693208402,0.5902730731250962
1.1,75,0.6070181287207882,0.537570720727401,0.5123531473373908,0.5796524087362366
1.1,90,0.6042476570780343,0.5795058218866718,0.5057614453690008,0.5753813797370304
1.1,105,0.6070181193320937,0.6350017216079658,0.5123531357723992,0.5796523901132207
1.1,119.99999999999999,0.6143214521798359,0.6906520589289711,0.5296166468317939,0.5902730395428261
1.1,135,0.623745725682913,0.7355886774944802,0.5518588499085726,0.6028409289710092
1.1,150,0.6326395109934608,0.7656011677659902,0.5734240761739395,0.6137776771786627
1.1,165,0.6388715594450338,0.7816902608529256,0.5908064175523724,0.6210120929619842
1.1,180,0.6411015215114525,0.7866075655895787,0.6033399485946779,0.6235276778039448
1.1,195,0.6388715582720748,0.7816902553703047,0.6125417964832072,0.6210120893955025
1.1,210,0.6326395087057618,0.765601157386419,0.6204110291855427,0.6137776702291956
1.1,225,0.6237457224938111,0.735588663378458,0.6277730207729655,0.6028409191141165
1.1,239.99999999999997,0.6143214485354114,0.6906520427100551,0.6340146355334477,0.5902730275958435
1.1,255,0.6070181158344534,0.6350017051640705,0.638106494252223,0.5796523771669253
1.1,270,0.6042476542675118,0.5795058072990759,0.6395019998312009,0.575381367132453
1.1,285,0.6070181268665724,0.5375707104031001,0.638106514820866,0.5796523979120051
1.1,300,0.6143214690387557,0.5152661650336546,0.6340146735597032,0.590273064910598
1.1,315,0.6237457499988613,0.5091681262203331,0.6277730713444445,0.6028409677745921
1.1,330,0.6326395405985215,0.512534534748303,0.6204110867457611,0.6137777257437482
1.1,345,0.6388715922605472,0.5183478647695327,0.6125418556726473,0.6210121481414677
1.1,360,0.6411015557151462,0.5210109656971421,0.6033400049834098,0.6235277368498047
1.2,0,0.6646403832153733,0.5584863360401774,0.602874394041772,0.6281077262782647
1.2,14.999999999999998,0.6617975993796964,0.5528540916471659,0.5975649003419872,0.6248973901501177
1.2,29.999999999999996,0.6538438295407887,0.5386667889064521,0.5846585082592632,0.6155453672335391
1.2,45,0.642456302714441,0.5228817086666426,0.5641138050621018,0.600901889895599
1.2,59.99999999999999,0.630284814173528,0.5137665381690416,0.5399460890882459,0.582785826656935
1.2,75,0.6206855318262726,0.5195335011650355,0.519777450827643,0.5653324203610166
1.2,90,0.6169731058293224,0.5535298454501483,0.5119740681448018,0.5571970703747183
1.2,105,0.6206855209573765,0.6161805890800406,0.5197774385051734,0.5653323974550737
1.2,119.99999999999999,0.6302847937852918,0.6797395016617753,0.5399460647747957,0.582785790075991
1.2,135,0.6424562745742208,0.7275205674305278,0.5641137701521219,0.6009018441701431
1.2,150,0.6538437956494717,0.756228946925356,0.5846584638492823,0.61554531487933
1.2,165,0.6617975617707464,0.7697281266024062,0.5975648478886096,0.6248973333406037
1.2,180,0.6646403437878107,0.7734289786469012,0.602874335781727,0.628107667117038
1.2,195,0.661797560175934,0.7697281209452921,0.6037047709526112,0.624897329715021
1.2,210,0.653843792520152,0.7562289361552409,0.6038954111311544,0.6155453077971351
1.2,225,0.6424562701877101,0.7275205526592895,0.6052908387181576,0.6009018341316764
1.2,239.99999999999997,0.6302847887698342,0.6797394844617649,0.6070025173795773,0.5827857779403085
1.2,255,0.6206855161739163,0.6161805709588153,0.6075211262622533,0.5653323841641138
1.2,270,0.6169731020486645,0.5535298280914256,0.6073096497196315,0.557197057161313
1.2,285,0.6206855294883822,0.5195334915225042,0.607521148972444,0.5653324100058325
1.2,300,0.6302848131565367,0.5137665362860271,0.607002557492584,0.5827858197418194
1.2,315,0.6424563025410392,0.5228817102987057,0.6052908908335697,0.6009018855618359
1.2,330,0.6538438297212171,0.5386667912395415,0.6038954701279018,0.6155453647707938
1.2,345,0.661797599558661,0.5528540931247354,0.6037048317637939,0.6248973890534437
1.2,360,0.6646403832153734,0.5584863360401774,0.602874394041772,0.6281077262782647
1.3,0,0.6805829572128065,0.6127331992236837,0.6041729207628737,0.6344499170455041
1.3,14.999999999999998,0.6772344676660734,0.6035639885751244,0.6088561867425565,0.6309384107860767
1.3,29.999999999999996,0.6679168480991136,0.5797648760879389,0.6032326815984164,0.6206578884632439
1.3,45,0.6546855559180682,0.5509484298455232,0.5859646427724015,0.6041482887160067
1.3,59.99999999999999,0.6405717230070863,0.5275222539772726,0.5614400359365942,0.5823693926870928
1.3,75,0.6292406357594523,0.5154189812559633,0.5405426624504975,0.558545302269224
1.3,90,0.624559413877917,0.5253594735097352,0.5354206300513812,0.5439088688880431
1.3,105,0.629240624173095,0.5961895120988397,0.5405426549628782,0.5585452777586908
1.3,119.99999999999999,0.6405717015463934,0.6675469443352786,0.5614400130698045,0.5823693577847234
1.3,135,0.6546855260633765,0.7147487111128243,0.5859646084895949,0.6041482462190765
1.3,150,0.6679168117673775,0.7380240701210418,0.6032326377439184,0.6206578398870012
1.3,165,0.677234426987524,0.7457192305327582,0.608856135199607,0.6309383577890842
1.3,180,0.6805829142667166,0.7469975006991344,0.6041728640846519,0.634449861465391
1.3,195,0.6772344249160797,0.745719224915977,0.5947495631987737,0.6309383541065293
1.3,210,0.6679168076810078,0.7380240593709266,0.5871008456845602,0.6206578326968962
1.3,225,0.654685520323468,0.7147486962937547,0.5840647634805389,0.604148236142189
1.3,239.99999999999997,0.6405716950348604,0.667546927136384,0.5830783580488799,0.5823693459438847
1.3,255,0.629240618111848,0.5961894940611971,0.5802025860559735,0.5585452653403599
1.3,270,0.6245594092625741,0.5253594547345517,0.5771295913840334,0.5439088566941965
1.3,285,0.6292406332510695,0.5154189778961753,0.5802026099625994,0.5585452946754976
1.3,300,0.6405717222216755,0.5275222565736583,0.5830783964095445,0.5823693881025458
1.3,315,0.6546855561475183,0.5509484345650221,0.5840648123641605,0.6041482861231641
1.3,330,0.6679168486585562,0.5797648804412422,0.5871009015113607,0.6206578871837594
1.3,345,0.6772344680650859,0.6035639910470372,0.5947496215851128,0.6309384102951854
1.3,360,0.6805829572128066,0.6127331992236836,0.6041729207628737,0.6344499170455041
1.4,0,0.6839359443030437,0.6714183277387964,0.6034523570552677,0.636483612368527
1.4,14.999999999999998,0.6804557032913621,0.6580880245276688,0.6206964958728314,0.6334111702026108
1.4,29.999999999999996,0.6709678432476046,0.6235152599679505,0.6256741060847549,0.6244452174410992
1.4,45,0.6579334821876757,0.5818545392671761,0.6151032238847044,0.6095865371262449
1.4,59.99999999999999,0.6443338175454427,0.5470404211060066,0.5940293042428414,0.588417052633434
1.4,75,0.6333532059269239,0.5241070527484419,0.5775486373942254,0.563256528615073
1.4,90,0.6283777595393152,0.512338182478975,0.5759321936093159,0.5450766458872561
1.4,105,0.6333531950553265,0.5811277974759308,0.5775486359823916,0.5632565079872892
1.4,119.99999999999999,0.644333797170823,0.653838848320488,0.5940292868563666,0.5884170241155383
1.4,135,0.6579334532111317,0.6939405148229506,0.6151031928737514,0.6095865017367078
1.4,150,0.6709678072083752,0.7058267777712421,0.6256740652223152,0.6244451762730256
1.4,165,0.6804556622475528,0.7033962537251306,0.6206964478852973,0.6334111244927272
