x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-4.5,-4.5,5,0.58328245,0.586971223,0.86529603,0.813739893
-4.5,-4.5,5.1,0.585211661,0.58634758,0.849373473,0.806331638
-4.5,-4.5,5.2,0.587751922,0.595712041,0.825246485,0.810471858
-4.5,-4.5,5.3,0.594734302,0.606851568,0.794477986,0.817814893
-4.5,-4.5,5.4,0.611819222,0.611000054,0.764331584,0.836417491
-4.5,-4.5,5.5,0.63846206,0.599178956,0.742239259,0.893528096
-4.5,-4.5,5.6,0.662661444,0.598748911,0.726251533,0.913248718
-4.5,-4.5,5.7,0.68168811,0.61435916,0.706743696,0.893195567
-4.5,-4.5,5.8,0.69568597,0.627465014,0.67563058,0.868413398
-4.5,-4.5,5.9,0.704329129,0.630795383,0.630184924,0.851128834
-4.5,-4.5,6,0.708579644,0.62242611,0.571345206,0.845563862
-4.5,-4.5,6.1,0.709055575,0.609245305,0.501885569,0.848023123
-4.5,-4.5,6.2,0.705168549,0.608054061,0.418201044,0.857432429
-4.5,-4.5,6.3,0.706385829,0.626233016,0.347435297,0.897704316
-4.5,-4.5,6.4,0.723683257,0.632735645,0.391942808,0.908448992
-4.5,-4.5,6.5,0.739243232,0.630301409,0.422033054,0.901389949
-4.5,-4.5,6.6,0.74802185,0.622766313,0.431231326,0.889609314
-4.5,-4.5,6.7,0.748492233,0.619085511,0.436390774,0.873390354
-4.5,-4.5,6.8,0.741292257,0.62508463,0.453240464,0.856491263
-4.5,-4.5,6.9,0.72955003,0.636663896,0.48978872,0.844117367
-4.5,-4.5,7,0.71585235,0.643410982,0.579769733,0.842757559
-4.5,-4.5,7.1,0.727346705,0.637044225,0.716320937,0.856957831
-4.5,-4.5,7.2,0.744410904,0.633534635,0.756787636,0.845836949
-4.5,-4.5,7.3,0.755405465,0.631983729,0.768494104,0.837331219
-4.5,-4.5,7.4,0.762758043,0.634724879,0.768836417,0.8358986
-4.5,-4.5,7.5,0.76457917,0.63611576,0.759578298,0.836617473
-4.5,-4.5,7.6,0.759268925,0.631049292,0.743523453,0.834864707
-4.5,-4.5,7.7,0.747680417,0.620151754,0.728566361,0.830128787
-4.5,-4.5,7.8,0.740297904,0.610000921,0.760415397,0.841562795
-4.5,-4.5,7.9,0.752561659,0.619080615,0.783461089,0.844076817
-4.5,-4.5,8,0.754533871,0.631939931,0.768478983,0.819641871
-4.5,-4.5,8.1,0.753385667,0.639483233,0.746060645,0.800769513
-4.5,-4.5,8.2,0.750514865,0.637334962,0.712849926,0.794818838
-4.5,-4.5,8.3,0.74401236,0.626353112,0.665013217,0.800224592
-4.5,-4.5,8.4,0.73171184,0.614386101,0.603036908,0.811226945
-4.5,-4.5,8.5,0.71361509,0.612726372,0.534481212,0.824834142
-4.5,-4.5,8.6,0.706852577,0.616764144,0.474490127,0.868863406
-4.5,-4.5,8.7,0.704776168,0.614242598,0.439207405,0.877231434
-4.5,-4.5,8.8,0.698321767,0.607907821,0.426523255,0.859506867
-4.5,-4.5,8.9,0.690037768,0.599953398,0.41617821,0.836534831
-4.5,-4.5,9,0.680358023,0.598822626,0.397184947,0.819411531
-4.5,-4.5,9.1,0.668334852,0.604552662,0.373267663,0.813118506
-4.5,-4.5,9.2,0.652508962,0.610938435,0.36049742,0.815980074
-4.5,-4.5,9.3,0.635945882,0.609868974,0.404714681,0.834604322
-4.5,-4.5,9.4,0.632788232,0.60219181,0.49566858,0.87801816
-4.5,-4.5,9.5,0.634966421,0.59785979,0.564245304,0.889507085
-4.5,-4.5,9.6,0.638649173,0.601446356,0.596087521,0.884588918
-4.5,-4.5,9.7,0.642116017,0.607217755,0.602798281,0.874931023
-4.5,-4.5,9.8,0.644699172,0.60959667,0.60022118,0.863599556
-4.5,-4.5,9.9,0.645926202,0.604218855,0.599434672,0.851525649
-4.5,-4.5,10,0.645249666,0.592770522,0.610221142,0.840238211
-4.5,-4.5,10.1,0.650275954,0.590640386,0.668561531,0.854681801
-4.5,-4.5,10.2,0.661937532,0.603824455,0.719167953,0.872592945
-4.5,-4.5,10.3,0.674007442,0.614381852,0.740606906,0.872156542
-4.5,-4.5,10.4,0.684438245,0.617134357,0.729703476,0.860130047
-4.5,-4.5,10.5,0.6951294,0.614484859,0.70334506,0.853186178
-4.5,-4.5,10.6,0.705612497,0.610418321,0.667420288,0.852375071
-4.5,-4.5,10.7,0.712850748,0.611737505,0.623588832,0.851801803
-4.5,-4.5,10.8,0.716093093,0.620265715,0.582483613,0.851074069
-4.5,-4.5,10.9,0.722604109,0.626774807,0.547397126,0.859585342
-4.5,-4.5,11,0.72979282,0.624115758,0.517700775,0.864515922
-5,-5,5,0.58328243,0.586971231,0.865296409,0.748540147
-5,-5,5.1,0.585211617,0.586347548,0.849374033,0.744247449
-5,-5,5.2,0.587751862,0.59571196,0.825247317,0.748237431
-5,-5,5.3,0.594734256,0.606851443,0.794479275,0.750332235
-5,-5,5.4,0.61181922,0.610999932,0.764333729,0.754749121
-5,-5,5.5,0.638462133,0.599178947,0.742241996,0.809170661
-5,-5,5.6,0.662661531,0.598749035,0.726254027,0.850094768
-5,-5,5.7,0.681688072,0.614359443,0.706746093,0.844090076
-5,-5,5.8,0.695685821,0.627465319,0.675633193,0.826704257
-5,-5,5.9,0.704329035,0.630795516,0.630187959,0.813994315
-5,-5,6,0.708579807,0.622425952,0.571348645,0.811033607
-5,-5,6.1,0.709056144,0.609244954,0.501889267,0.812144357
-5,-5,6.2,0.705169688,0.608053725,0.418204604,0.808632627
-5,-5,6.3,0.706387521,0.626233012,0.347433916,0.843218089
-5,-5,6.4,0.723685037,0.632735821,0.391941064,0.872284665
-5,-5,6.5,0.739244824,0.630301377,0.422032032,0.873530145
-5,-5,6.6,0.748023035,0.622766424,0.431229683,0.864196053
-5,-5,6.7,0.748493103,0.619085994,0.436387582,0.848661266
-5,-5,6.8,0.741293179,0.625085368,0.453235688,0.832176552
-5,-5,6.9,0.729551399,0.636664465,0.489782939,0.818537742
-5,-5,7,0.715854366,0.643411089,0.57976249,0.804807702
-5,-5,7.1,0.727349297,0.637043516,0.716315864,0.81640048
-5,-5,7.2,0.744414024,0.633534047,0.756784731,0.817992329
-5,-5,7.3,0.755408353,0.631983887,0.768491845,0.813454592
-5,-5,7.4,0.76275999,0.634725564,0.768834433,0.811140352
-5,-5,7.5,0.764579952,0.636116282,0.759576801,0.808808645
-5,-5,7.6,0.759269081,0.631049534,0.743522942,0.803369206
-5,-5,7.7,0.747680959,0.620151759,0.728567086,0.793503973
-5,-5,7.8,0.740299474,0.610001419,0.760418845,0.788825291
-5,-5,7.9,0.752565053,0.619081972,0.783468246,0.794340186
-5,-5,8,0.754538256,0.631941258,0.768488877,0.778547683
-5,-5,8.1,0.753390207,0.639483931,0.74607244,0.763346697
-5,-5,8.2,0.750518882,0.637335005,0.712862478,0.757964538
