% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
8,9,0,0.696668869,0.676886105,0.226319936
8,9.1,0,0.687947335,0.666609146,0.21007712
8,9.2,0,0.677276788,0.654667618,0.205166798
8,9.3,0,0.662326938,0.646217578,0.218990411
8,9.4,0,0.65141842,0.645664671,0.226121536
8,9.5,0,0.635186722,0.648618181,0.236271915
8,9.6,0,0.615049303,0.646642495,0.252936205
8,9.7,0,0.59834909,0.642271948,0.273449876
8,9.8,0,0.587240814,0.636227833,0.292886933
8,9.9,0,0.581172373,0.628072876,0.307539872
8,10,0,0.578072925,0.620256663,0.317918632
8,10.1,0,0.581383276,0.618410845,0.346243583
8,10.2,0,0.593891037,0.624877161,0.379472671
8,10.3,0,0.603410369,0.626753443,0.413383574
8,10.4,0,0.609443898,0.624100619,0.437012412
8,10.5,0,0.619223521,0.624873375,0.454962604
8,10.6,0,0.63339251,0.629128279,0.469809412
8,10.7,0,0.648483278,0.633605947,0.478351546
8,10.8,0,0.661473424,0.639336488,0.482900422
8,10.9,0,0.677931808,0.649565849,0.479367385
8,11,0,0.694102191,0.655661789,0.467996138
7.9,9,0,0.697434877,0.678469799,0.227285925
7.9,9.1,0,0.688755323,0.670195818,0.21096891
7.9,9.2,0,0.678234759,0.659225014,0.205786267
7.9,9.3,0,0.663567675,0.650053287,0.220068455
7.9,9.4,0,0.6529087,0.647172486,0.227146572
7.9,9.5,0,0.636618131,0.649624922,0.236309343
7.9,9.6,0,0.61615096,0.648405194,0.251355696
7.9,9.7,0,0.599045141,0.6446343,0.270673212
7.9,9.8,0,0.587596967,0.639164803,0.289537359
7.9,9.9,0,0.581325074,0.631504086,0.304063007
7.9,10,0,0.57819856,0.623710264,0.314566795
7.9,10.1,0,0.581582053,0.620779578,0.342780461
7.9,10.2,0,0.594136026,0.626877233,0.375769798
7.9,10.3,0,0.603352298,0.630160794,0.409604466
7.9,10.4,0,0.608981359,0.627221031,0.433293104
7.9,10.5,0,0.61851611,0.626455517,0.451417928
7.9,10.6,0,0.632656394,0.629028225,0.46658727
7.9,10.7,0,0.647832649,0.631118195,0.47559483
7.9,10.8,0,0.661107223,0.634234296,0.48073492
7.9,10.9,0,0.677897352,0.6438886,0.477613823
7.9,11,0,0.694305353,0.652375457,0.466598412
7.8,9,0,0.698233794,0.678374811,0.228229671
7.8,9.1,0,0.689592688,0.67224554,0.211846249
7.8,9.2,0,0.679220489,0.662601809,0.206366188
7.8,9.3,0,0.664838628,0.653549263,0.221125225
7.8,9.4,0,0.654436123,0.649232675,0.228241612
7.8,9.5,0,0.638101209,0.650444271,0.236547141
7.8,9.6,0,0.617352791,0.649689993,0.25001355
7.8,9.7,0,0.599808795,0.646535841,0.268068051
7.8,9.8,0,0.588025461,0.641678672,0.286282091
7.8,9.9,0,0.581546463,0.634543977,0.30062864
7.8,10,0,0.578392076,0.627021622,0.311231246
7.8,10.1,0,0.581837553,0.623981734,0.339303359
7.8,10.2,0,0.5944545,0.629353415,0.372029382
7.8,10.3,0,0.6034117,0.633995168,0.405767423
7.8,10.4,0,0.608681305,0.63170368,0.429498971
7.8,10.5,0,0.617804191,0.630129358,0.447782569
