 x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2",Detector
-4.5,-4.5,5,0.5845318255643587,0.6014282559479507,0.7259721555774634,0.6848855835072657
-4.5,-4.5,5.1000000000000005,0.5773700892905258,0.598561260510286,0.6970813992712109,0.6895645167598374
-4.5,-4.5,5.2,0.5657617290586393,0.5991340468748436,0.6641722647778265,0.7070502319047292
-4.5,-4.5,5.300000000000001,0.5543056287436188,0.5995340209155439,0.6313055936105507,0.7296298216659826
-4.5,-4.5,5.4,0.5563113515166614,0.5989523055334882,0.6084284533192504,0.7681553718681825
-4.5,-4.5,5.5,0.5768658128294285,0.5871719584484274,0.6031995985753107,0.8352824189378958
-4.5,-4.5,5.6000000000000005,0.5969775305531945,0.585834166703792,0.6097719839018286,0.8540289690990509
-4.5,-4.5,5.7,0.6147342816055854,0.5991539888800957,0.6134377438943199,0.8407700403763495
-4.5,-4.5,5.800000000000001,0.6322917151375257,0.6127342456313377,0.6018050856106932,0.824521301521877
-4.5,-4.5,5.9,0.6462027714840346,0.6202114276776471,0.5693622180495853,0.810693825253576
-4.5,-4.5,6,0.6545604303050189,0.6183457712693436,0.5168276962395545,0.8012028036894286
-4.5,-4.5,6.1000000000000005,0.6570185012701362,0.6093617383234834,0.44791983010915376,0.7936374391557148
-4.5,-4.5,6.2,0.6531731921227026,0.6073631308583842,0.35838311825708935,0.7910263339557709
-4.5,-4.5,6.300000000000001,0.6544289853157175,0.6221210863200176,0.40125553927897856,0.8144887027015585
-4.5,-4.5,6.4,0.6709181947068072,0.6273675790023187,0.4850091336513737,0.8039180638958447
-4.5,-4.5,6.5,0.6835634726102204,0.6276759262735233,0.5273769222619672,0.7797623001807751
-4.5,-4.5,6.6000000000000005,0.6904366142795493,0.6256591907798338,0.5501896196132253,0.7550543951542935
-4.5,-4.5,6.7,0.6916145417782882,0.6292920773620466,0.5643925089544598,0.7317864184983381
-4.5,-4.5,6.800000000000001,0.6882721383756275,0.6392559806100161,0.5773222775416774,0.7146251203585181
-4.5,-4.5,6.9,0.6819288707350536,0.6507874635297225,0.5947173888389117,0.7063453702693979
-4.5,-4.5,7,0.6763926695668252,0.6543733616115154,0.6546830009966115,0.7075946210364794
-4.5,-4.5,7.1000000000000005,0.6971891410244593,0.6421986953420428,0.7903902795655204,0.7165453756546729
-4.5,-4.5,7.2,0.7202414143426231,0.633400976614124,0.831538475445356,0.7031998075341084
-4.5,-4.5,7.300000000000002,0.7366491270000407,0.6330792787960314,0.83453165321886,0.6975949712911174
-4.5,-4.5,7.4,0.7493979709937635,0.6395174311613838,0.8192516369272816,0.7014677258081825
-4.5,-4.5,7.500000000000001,0.7572230583501338,0.6448494240650231,0.7871572775064571,0.7107330759677598
-4.5,-4.5,7.6000000000000005,0.7572885236838408,0.642504347703181,0.7407246130804911,0.7230882158656544
-4.5,-4.5,7.7,0.7477922337003875,0.6301038719060824,0.688356566800646,0.7393027845755685
-4.5,-4.5,7.800000000000002,0.7416460755686545,0.6148055102985771,0.682352210385996,0.7672864187507265
-4.5,-4.5,7.9,0.7594917228689866,0.6216447106790732,0.697229527904884,0.7740621425833009
-4.5,-4.5,8,0.7635006404675341,0.6332891106285359,0.6827695892540081,0.7556593754087969
-4.5,-4.5,8.1,0.7617335719114517,0.6419612241938032,0.6660401301022705,0.737412590455485
-4.5,-4.5,8.2,0.7567667227574963,0.6427422519612971,0.6404554492248888,0.7256072475422075
-4.5,-4.5,8.3,0.7472758121997607,0.6359133306760715,0.5999385679329531,0.7202608096164125
-4.5,-4.5,8.4,0.7309114902560955,0.6268643893205605,0.5443954433367647,0.7178079600466039
-4.5,-4.5,8.5,0.7072161152777656,0.6243894854748805,0.481639991798394,0.717587219453502
-4.5,-4.5,8.600000000000001,0.6962380598499976,0.6279613323982358,0.4258336933636606,0.7470406811726072
-4.5,-4.5,8.700000000000001,0.6919078386572474,0.6272873862462875,0.38798202779236085,0.7409594855473165
-4.5,-4.5,8.8,0.6841844097223078,0.6208555136437701,0.3667691111130427,0.7127886097816531
-4.5,-4.5,8.9,0.6753872649281502,0.6148796346797036,0.35565740602712587,0.6843166911373886
-4.5,-4.5,9,0.6657338161691435,0.616593950450459,0.35357752264499975,0.6652435202716512
-4.5,-4.5,9.100000000000003,0.6539725087187754,0.6223774673525242,0.37318571779020165,0.6576398943800773
-4.5,-4.5,9.200000000000001,0.63835225995896,0.6254908128713487,0.4242856797380889,0.6576116612227612
-4.5,-4.5,9.3,0.621177357439832,0.6217346425950584,0.5193989704170563,0.672296030625926
-4.5,-4.5,9.4,0.6177429799098036,0.6124949175285413,0.6361063406903159,0.7078116062175434
-4.5,-4.5,9.5,0.6182205088138542,0.6066419884834358,0.7159176643507849,0.7077562948031527
-4.5,-4.5,9.600000000000003,0.6181865295381146,0.6083825719768525,0.7549402544572964,0.6938986684325773
-4.5,-4.5,9.700000000000001,0.6172095069654744,0.6115786242814348,0.7643800613323589,0.6854954648234252
-4.5,-4.5,9.8,0.6160282340185423,0.6108400561360775,0.755321660243677,0.6899136104949782
-4.5,-4.5,9.9,0.6137103043764895,0.603695457684367,0.7352896423595806,0.7052389560279682
-4.5,-4.5,10,0.6095923152784022,0.5924676388919428,0.7153211994656323,0.7247154150271
-4.5,-4.5,10.100000000000003,0.6144286965426005,0.5897786634419319,0.741895856647393,0.7626225903727238
-4.5,-4.5,10.200000000000001,0.6290753096483996,0.6002250807246179,0.7756046085191922,0.7864046936330799
-4.5,-4.5,10.3,0.6455566916972859,0.6078742060708419,0.7906625031667526,0.7817763721297152
-4.5,-4.5,10.4,0.6585375695709934,0.6086567043903787,0.777700569892983,0.7611029521052112
-4.5,-4.5,10.5,0.668876350716829,0.6081037362748658,0.7503286663046344,0.7430482351822125
-4.5,-4.5,10.600000000000003,0.6772729298138926,0.608882074482162,0.7129039992495199,0.729909587546017
-4.5,-4.5,10.700000000000001,0.6815135241534237,0.6160651399902201,0.6652375027467815,0.7179503661282104
-4.5,-4.5,10.8,0.6811493947116732,0.6262821558488217,0.6162397513731347,0.7096901497375859
-4.5,-4.5,10.9,0.684682965590123,0.6319013067752611,0.5716650074951622,0.7139625581924189
-4.5,-4.5,11,0.6921951652695492,0.6268311895021318,0.5322425139155283,0.7163070680948611
-5,-5,5,0.5845319292517032,0.601428330427327,0.7259728562817912,0.6376730695191355
-5,-5,5.1000000000000005,0.5773701937537535,0.5985613558402255,0.6970821332966667,0.6425499337888344
-5,-5,5.2,0.5657618309413189,0.5991341312740849,0.6641730793778148,0.6571126105807884
-5,-5,5.300000000000001,0.5543057255678585,0.599534048817777,0.6313067315357078,0.6722686121554939
-5,-5,5.4,0.5563114341663238,0.5989522965107811,0.6084303663383678,0.6984134882532548
-5,-5,5.5,0.576865927076566,0.5871720332729624,0.6032018728058351,0.7699216764605835
-5,-5,5.6000000000000005,0.5969776777777199,0.5858342682501553,0.6097738727289662,0.8093978253819014
-5,-5,5.7,0.6147343117129312,0.5991541626491076,0.6134394853555737,0.8065778250714947
-5,-5,5.800000000000001,0.6322915539725129,0.6127344308846322,0.6018069754345169,0.7948700966667565
-5,-5,5.9,0.6462024946027399,0.6202114754064861,0.5693645023680812,0.7837294502086094
-5,-5,6,0.6545602183836388,0.6183455971734785,0.5168305007724937,0.7756817697704945
-5,-5,6.1000000000000005,0.6570185562070233,0.6093614360580205,0.4479232245207023,0.7660944270857905
-5,-5,6.2,0.6531737792138753,0.6073628589381538,0.35838643915090546,0.7512394759250777
-5,-5,6.300000000000001,0.6544301573155178,0.62212120709552,0.40125366805375934,0.7743724155635254
-5,-5,6.4,0.6709197463031955,0.6273679257492513,0.4850084526691966,0.7839405587729656
-5,-5,6.5,0.6835652500921408,0.6276760575522383,0.5273763618591647,0.7685623164890503
-5,-5,6.6000000000000005,0.6904384044519525,0.6256593578873996,0.5501879930981071,0.7473617930479411
-5,-5,6.7,0.6916162296770959,0.6292923385119851,0.5643891003494977,0.7262836718869959
-5,-5,6.800000000000001,0.6882737355209946,0.6392563962399662,0.5773171266805666,0.7109971336564789
-5,-5,6.9,0.6819304432882678,0.6507878821328544,0.5947112335865856,0.7023951778447394
-5,-5,7,0.6763941690818598,0.6543736705628068,0.6546757101757884,0.6932501285898836
-5,-5,7.1000000000000005,0.6971906554702781,0.642198646331698,0.7903853660881627,0.7060370248052936
-5,-5,7.2,0.720243092933989,0.6334002840729933,0.8315365685176275,0.7066976808383737
-5,-5,7.300000000000002,0.7366504742376381,0.6330791271584804,0.8345311585355147,0.7047874583833367
-5,-5,7.4,0.7493986225292043,0.6395179556133449,0.8192519005608837,0.7079185144614383
-5,-5,7.500000000000001,0.7572227829396139,0.6448500905551928,0.7871582750380188,0.7147176916711138
-5,-5,7.6000000000000005,0.7572877062779151,0.6425048186992258,0.7407267793649437,0.7237744962896854
-5,-5,7.7,0.7477916671217633,0.6301039996204079,0.6883600643597055,0.7343968841023387
-5,-5,7.800000000000002,0.7416465371030789,0.6148055632288241,0.6823574252952772,0.7480181001920096
-5,-5,7.9,0.7594943388801597,0.6216452648141515,0.697236574207202,0.7580443942657726
-5,-5,8,0.7635046806938267,0.6332903157010451,0.6827776761962547,0.7437404721830742
-5,-5,8.1,0.7617380782918145,0.6419624481501344,0.6660491088091777,0.7249183168835807
-5,-5,8.2,0.7567708488282081,0.6427430236958327,0.6404649431989323,0.7105961580403648
-5,-5,8.3,0.7472791471643594,0.6359137013505172,0.5999483736010331,0.701921745349233
-5,-5,8.4,0.7309143760648028,0.6268648277249333,0.5444056518477806,0.6957612634487077
-5,-5,8.5,0.7072194967832128,0.62439037320599,0.48165089920744847,0.688460556725538
-5,-5,8.600000000000001,0.6962429965375356,0.6279628304502463,0.42584493366958515,0.7054563772094762
-5,-5,8.700000000000001,0.6919142815522963,0.6272885741963982,0.38799170371188535,0.7067048460518845
-5,-5,8.8,0.684191598884702,0.6208561681994211,0.3667781171617692,0.6845334964154055
-5,-5,8.9,0.675394664595082,0.6148802740150741,0.35566427186327315,0.6588178811316435
-5,-5,9,0.6657410207486321,0.6165950117728839,0.3535760959050726,0.6405748647024144
-5,-5,9.100000000000003,0.6539791168134409,0.6223786594240015,0.37317065804033506,0.6328844815287021
-5,-5,9.200000000000001,0.6383579669783478,0.6254916057950782,0.42426153382770976,0.631934797708801
-5,-5,9.3,0.6211819293436993,0.621734841131276,0.5193669866616767,0.6376724481583045
-5,-5,9.4,0.6177468310818623,0.6124951062334039,0.6360722243300222,0.6724307571173574
-5,-5,9.5,0.6182241901230983,0.6066427770469525,0.7158831365382623,0.6831788991003658
-5,-5,9.600000000000003,0.6181904506236008,0.6083837686751373,0.7549056686289005,0.6790980640319371
-5,-5,9.700000000000001,0.617213641356368,0.6115797330601351,0.7643459754486024,0.675865245977063
-5,-5,9.8,0.6160320995658103,0.6108409809624228,0.7552879862673931,0.6811542183669242
-5,-5,9.9,0.6137134395365132,0.6036962552002986,0.7352566251884746,0.6944224770983317
-5,-5,10,0.6095943414987292,0.5924681447368821,0.7152898552278902,0.7082946455431539
-5,-5,10.100000000000003,0.6144294636212417,0.5897794550273427,0.7418699272735423,0.7341232592304321
-5,-5,10.200000000000001,0.6290758331540418,0.6002264357616001,0.7755852130732483,0.7577127466961463
-5,-5,10.3,0.6455567765755048,0.6078747298554321,0.7906472787410288,0.7606021619656986
-5,-5,10.4,0.6585373495007403,0.6086555750667247,0.7776891367035379,0.7480196438139822
-5,-5,10.5,0.6688758335054485,0.6081018118766988,0.7503195107043404,0.7335186766987587
-5,-5,10.600000000000003,0.6772721283147065,0.6088812466600282,0.7128958844580788,0.7200568918387968
-5,-5,10.700000000000001,0.6815122387700611,0.6160667244791374,0.6652301426546005,0.7055612633400498
-5,-5,10.8,0.6811471943130437,0.6262848805993524,0.6162346121564941,0.6899363315440766
-5,-5,10.9,0.6846815508901977,0.6319031708437465,0.5716692761586336,0.6866289166647253
-5,-5,11,0.6921962346457845,0.6268305198382358,0.5322583528643454,0.6846889657529655
-5.5,-5.5,5,0.5845319309682013,0.6014283742412878,0.7259730569491198,0.5903266257010156
-5.5,-5.5,5.1000000000000005,0.5773702350103446,0.5985613782120761,0.6970822836112615,0.5969716660131792
